LocationID (QRCode),Latitude,Longitude,Description,Moderator (0/1),Active (0/1),Dosimeter,Collected Flag (0/1),Wear Period,System_Date Deployed,System_Date Collected,Mismatch (0/1), my_Date Deployed, my_Date Collected, recordID
SSRL-031,37.41864014,-122.20151212,BLDG 120 - 2nd floor: staff kitchen area (2nd floor) in upper cabinet in back corner by window,1,1,BA001380494,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 9E26AE28-C427-4038-9D3A-34226EE5B1A9
SSRL-031,37.41867065,-122.20148709,BLDG 120 - 2nd floor: staff kitchen area (2nd floor) in upper cabinet in back corner by window,1,1,BA00081281A,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 646B681F-9963-4C69-8579-EE07CCCD557C
SSRL-032,37.41864014,-122.20152180,BLDG 120 - 2nd floor: on outside wall at top of the main floor stairs leading into staff kitchen area,1,1,BA00167916Q,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 1B67CEDD-DB19-4180-B078-FDBC1D95A997
SSRL-032,37.41864014,-122.20146224,BLDG 120 - 2nd floor: on outside wall at top of the main floor stairs leading into staff kitchen area,1,1,BA00112135L,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, A58FB02B-98FE-4E9F-A88A-786671F18EF4
SSRL-033,37.41867065,-122.20151774,BL 1-4 wall by hutch door,1,1,BA00116778V,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, B2EA32C6-7503-4CA8-82AC-305A1707098B
SSRL-033,37.41864014,-122.20146932,BL 1-4 wall by hutch door,1,1,BA001960080,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 70565089-B8D6-4775-9C4D-1180B02F23D4
SSRL-034,37.41864014,-122.20150850,BLDG 120 - Wall: BL-2 lateral shield wall by electrical panel,1,1,BA000117377,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, B8776971-FCE2-455B-9B70-EBF147C63281
SSRL-034,37.41864014,-122.20144133,BLDG 120 - Wall: BL-2 lateral shield wall by electrical panel,1,1,BA00186122A,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 47E21DFE-E086-4B01-9B37-B68B07B82AD9
SSRL-035,37.41867065,-122.20150525,BLDG 120 - Wall: BL-7 lateral shield wall (appx 10' feet upstream of BL7 ratchet wall),1,1,BA00129102L,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, E6A5F302-3E3F-48FD-A1E1-C5FF3AC74FA4
SSRL-035,37.41867065,-122.20141573,BLDG 120 - Wall: BL-7 lateral shield wall (appx 10' feet upstream of BL7 ratchet wall),1,1,BA00166020K,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 8270A1E8-4147-4AE8-8061-2261AF99554B
